Sample Name	Allele ID	Allele URL	Antibody Vendor	Associated Files	Cell Line	Cell Type	ChIP Method	Core Facility	Culture period (days)	Directional Sequencing Library	Dose	GEO accession number	Gene Name	Genetic Modification	Global Unique Identifier (GUID)	Library Prep Method	Line/strain	Organ	PI Providing Sample	Pulse (hours)	Raw Data URL	Replica Number	Sample Source	Seq Library Insert Size	Sequence Read Length	Sequencing Read Type	Stage (ESC differentiation)	Stage (Human)	Tissue
CR3_D00					WTb6 iPS				0							oligo dT	WTb6 iPS							0	100				
CR3_D01					WTb6 iPS				1							oligo dT	WTb6 iPS							0	100				
CR3_D02					WTb6 iPS				2							oligo dT	WTb6 iPS							0	100				
CR3_D03					WTb6 iPS				3							oligo dT	WTb6 iPS							0	100				
CR3_D04					WTb6 iPS				4							oligo dT	WTb6 iPS							0	100				
CR3_D05					WTb6 iPS				5							oligo dT	WTb6 iPS							0	100				
CR3_D06					WTb6 iPS				6							oligo dT	WTb6 iPS							0	100				
CR3_D08					WTb6 iPS				8							oligo dT	WTb6 iPS							0	100				
CR3_D15					WTb6 iPS				15							oligo dT	WTb6 iPS							0	100				
CR3_D30					WTb6 iPS				30							oligo dT	WTb6 iPS							0	100				
CR3_D60					WTb6 iPS				60							oligo dT	WTb6 iPS							0	100				
CR5_D00					WTb6 iPS				0							oligo dT	WTb6 iPS							0	100				
CR5_D01					WTb6 iPS				1							oligo dT	WTb6 iPS							0	100				
CR5_D02					WTb6 iPS				2							oligo dT	WTb6 iPS							0	100				
CR5_D03					WTb6 iPS				3							oligo dT	WTb6 iPS							0	100				
CR5_D04					WTb6 iPS				4							oligo dT	WTb6 iPS							0	100				
CR5_D05					WTb6 iPS				5							oligo dT	WTb6 iPS							0	100				
CR5_D06					WTb6 iPS				6							oligo dT	WTb6 iPS							0	100				
CR5_D08					WTb6 iPS				8							oligo dT	WTb6 iPS							0	100				
CR5_D15					WTb6 iPS				15							oligo dT	WTb6 iPS							0	100				
CR5_D30					WTb6 iPS				30							oligo dT	WTb6 iPS							0	100				
CR5_D60					WTb6 iPS				60							oligo dT	WTb6 iPS							0	100				
MJS21a_D00					WTb6 iPS				0							oligo dT	WTb6 iPS							0	100				
MJS21a_D01					WTb6 iPS				1							oligo dT	WTb6 iPS							0	100				
MJS21a_D02					WTb6 iPS				2							oligo dT	WTb6 iPS							0	100				
MJS21a_D03					WTb6 iPS				3							oligo dT	WTb6 iPS							0	100				
MJS21a_D04					WTb6 iPS				4							oligo dT	WTb6 iPS							0	100				
MJS21a_D05					WTb6 iPS				5							oligo dT	WTb6 iPS							0	100				
MJS21a_D06					WTb6 iPS				6							oligo dT	WTb6 iPS							0	100				
MJS21a_D08					WTb6 iPS				8							oligo dT	WTb6 iPS							0	100				
MJS21a_D15					WTb6 iPS				15							oligo dT	WTb6 iPS							0	100				
MJS21a_D30					WTb6 iPS				30							oligo dT	WTb6 iPS							0	100				
MJS21a_D60					WTb6 iPS				60							oligo dT	WTb6 iPS							0	100				
